Player,Position,Minutes,Impact,Fatigue_Score,Predicted Impact,Sub_Recommendation,Sub Early Probability
Joe Gelhardt,FW,216.0,0.018518519,2.333333333,0.012457623,Monitor,0.315005375
Valère Germain,"FW,MF",684.0,0.011695906,1.539473684,0.012300872,Sub Early,0.361263981
Gerson,MF,414.0,0.014492754,2.304347826,0.012391305,Monitor,0.361834812
Ismaël Gharbi,"MF,FW",54.0,0.0,2.5,0.012511882,Monitor,0.254108181
Paolo Ghiglione,DF,711.0,0.021097046,1.012658228,0.012291829,Sub Early,0.336446284
Faouzi Ghoulam,DF,477.0,0.020964361,0.301886792,0.012370204,Monitor,0.215985409
Niko Gießelmann,DF,1305.0,0.018390805,0.855172414,0.012092877,Sub Early,0.500106606
Rafał Gikiewicz,GK,2070.0,0.0,0.060869565,0.01183665,Monitor,0.620526903
Óscar Gil,DF,2556.0,0.006259781,1.401408451,0.011673871,Sub Early,0.852290115
Álvaro Giménez,FW,18.0,0.0,3.5,0.01252394,Monitor,0.333123636
Andrei Girotto,"DF,MF",3150.0,0.004761905,0.628571429,0.011474919,Sub Early,0.898306096
Wilfried Gnonto,"FW,MF",1350.0,0.020740741,1.453333333,0.012077805,Sub Early,0.58326072
Dani Gómez,"MF,FW",90.0,0.011111111,2.5,0.012499825,Monitor,0.28225709
Sergi Gómez,DF,2340.0,0.002136752,0.196153846,0.011746217,Monitor,0.714811346
Antonio Gomis,GK,9.0,0.0,0.0,0.012526955,Monitor,0.098960517
Diego González,DF,954.0,0.0,0.632075472,0.01221044,Sub Early,0.329355939
Oumar Gonzalez,DF,2574.0,0.0003885,0.821678322,0.011667842,Sub Early,0.813954866
Roberto González,"FW,MF",54.0,0.055555556,1.5,0.012511882,Monitor,0.264597668
Jacek Góralski,MF,144.0,0.013888889,0.4375,0.012481738,Monitor,0.151260677
José Gragera,"MF,DF",459.0,0.002178649,0.980392157,0.012376233,Monitor,0.234176861
Andrew Gravillon,DF,315.0,0.0,1.228571429,0.012424464,Monitor,0.216846218
Demarai Gray,"FW,MF",2511.0,0.016726404,1.512544803,0.011688943,Sub Early,0.862143144
Sam Greenwood,"MF,FW",423.0,0.037825059,1.255319149,0.012388291,Monitor,0.309397997
Leo Greiml,DF,360.0,0.002777778,1.3,0.012409392,Monitor,0.236698042
Clément Grenier,MF,720.0,0.016666667,1.8125,0.012288815,Sub Early,0.410328803
Lennart Grill,GK,450.0,0.0,0.0,0.012379248,Monitor,0.162933561
Ilia Gruev,MF,1584.0000000000002,0.005050505,0.892045455,0.011999429,Sub Early,0.565145876
Carlos Gruezo,MF,963.0,0.00623053,0.691588785,0.012207425,Sub Early,0.349877905
Koray Günter,DF,999.0,0.009009009,0.621621622,0.012195367,Sub Early,0.359232176
Raúl Guti,MF,1116.0,0.001792115,0.661290323,0.01215618,Sub Early,0.383973151
Darko Gyabi,FW,9.0,0.0,4.0,0.012526955,Monitor,0.379646885
Christian Gytkjær,"FW,MF",558.0,0.007168459,1.629032258,0.012343074,Monitor,0.324235485
Alexander Hack,DF,1134.0,0.003527337,0.73015873,0.012150151,Sub Early,0.400191853
Dennis Hadzikadunic,DF,612.0,0.0,0.411764706,0.012324988,Monitor,0.222784982
André Hahn,"FW,MF",387.0,0.007751938,1.813953488,0.012400349,Monitor,0.294884739
Marcel Halstenberg,DF,1557.0,0.013487476,0.791907514,0.012008473,Sub Early,0.564032578
Mathis Hamdi,DF,72.0,0.0,1.375,0.012505854,Monitor,0.177031753
Ben Hamed Touré,FW,207.0,0.0,1.956521739,0.012460637,Monitor,0.247559132
Romain Hamouma,"FW,MF",1080.0,0.015740741,1.816666667,0.012168238,Sub Early,0.524548328
Saïd Hamulic,FW,108.0,0.009259259,1.666666667,0.012493796,Monitor,0.216880029
Samir Handanović,GK,1233.0,0.00081103,0.02919708,0.012116992,Monitor,0.354140198
Haissem Hassan,"FW,MF",54.0,0.018518519,1.333333333,0.012511882,Monitor,0.195212886
Eden Hazard,FW,198.00000000000003,0.04040404,1.909090909,0.012463652,Monitor,0.311808412
Rhys Healey,FW,62.99999999999999,0.063492063,2.0,0.012508868,Monitor,0.325929287
Jonas Hector,DF,2826.0,0.012031139,0.697452229,0.011583438,Sub Early,0.864246825
Gauthier Hein,"MF,FW",1872.0,0.016559829,0.985576923,0.011902968,Sub Early,0.684870639
Jordan Henderson,MF,2070.0,0.015942029,0.565217391,0.01183665,Monitor,0.699995983
Jack Hendry,DF,216.0,0.00462963,0.333333333,0.012457623,Monitor,0.147200821
Wayne Hennessey,GK,270.0,0.0,0.0,0.012439536,Monitor,0.133525596
Mario Hernández,DF,99.0,0.0,0.454545455,0.01249681,Monitor,0.130466935
Omar El Hilali,"DF,MF",90.0,0.011111111,1.8,0.012499825,Monitor,0.225498731
Morten Hjulmand,MF,2961.0,0.010131712,0.96656535,0.011538222,Sub Early,0.893330698
Joseph Hodge,MF,171.0,0.005847953,0.631578947,0.012472695,Monitor,0.157569378
Rob Holding,DF,567.0,0.001763668,0.428571429,0.01234006,Monitor,0.216645993
Noah Holm,"FW,MF",198.00000000000003,0.015151515,1.818181818,0.012463652,Monitor,0.259081998
Jannes Horn,"DF,FW",62.99999999999999,0.0,0.714285714,0.012508868,Monitor,0.137999235
Cédric Hountondji,DF,3096.0,0.00129199,0.5,0.011493005,Monitor,0.883193134
Ilyes Housni,FW,9.0,0.0,4.0,0.012526955,Monitor,0.379646885
Petko Hristov,DF,369.0,0.0,0.365853659,0.012406377,Monitor,0.170151049
Ajdin Hrustic,MF,225.0,0.013333333,2.12,0.012454608,Monitor,0.288652785
Adrien Hunou,"MF,FW",2232.0,0.010304659,1.120967742,0.011782391,Sub Early,0.776787913
Omari Hutchinson,FW,27.0,0.037037037,1.333333333,0.012520926,Monitor,0.215823857
Roger Ibanez,DF,2799.0,0.003215434,0.819935691,0.011592482,Sub Early,0.857144334
Zlatan Ibrahimović,FW,144.0,0.013888889,1.625,0.012481738,Monitor,0.228856162
Mounaim El Idrissy,FW,2493.0,0.00762134,2.249097473,0.011694972,Sub Early,0.885626281
Antonio Iervolino,MF,9.0,0.0,0.0,0.012526955,Monitor,0.098960517
Kelechi Iheanacho,"FW,MF",1125.0,0.028444444,1.744,0.012153165,Sub Early,0.558764316
Rareş Ilie,"MF,FW",144.0,0.013888889,0.75,0.012481738,Monitor,0.169307123
Emirhan İlkhan,MF,90.0,0.011111111,2.5,0.012499825,Monitor,0.28225709
Asier Illarramendi,MF,1080.0,0.010185185,1.208333333,0.012168238,Sub Early,0.447351051
Marcus Ingvartsen,"FW,MF",1314.0,0.01217656,2.184931507,0.012089862,Sub Early,0.629254278
Andreas Ivan,MF,45.0,0.0,0.6,0.012514897,Monitor,0.12960618
Daniel Iversen,GK,1080.0,0.0,0.0,0.012168238,Monitor,0.305968253
Mato Jajalo,MF,62.99999999999999,0.015873016,1.0,0.012508868,Monitor,0.172072886
Marin Jakoliš,FW,27.0,0.0,2.333333333,0.012520926,Monitor,0.234435772
Daniel James,FW,198.00000000000003,0.005050505,0.818181818,0.012463652,Monitor,0.172472978
Saidy Janko,DF,1134.0,0.001763668,1.063492063,0.012150151,Sub Early,0.431217793
Pontus Jansson,DF,720.0,0.001388889,0.175,0.012288815,Monitor,0.231664037
Léo Jardim,GK,540.0,0.0,0.05,0.012349103,Monitor,0.182679293
Dany Jean,"DF,MF",9.0,0.111111111,4.0,0.012526955,Monitor,0.617055644
Julian Jeanvier,DF,1764.0000000000002,0.001133787,0.602040816,0.011939141,Sub Early,0.583457724
Jesé,FW,207.0,0.019323671,1.260869565,0.012460637,Monitor,0.224079477
Joaquín,"MF,FW",495.0,0.046464646,1.072727273,0.012364175,Monitor,0.329015785
Þórir Jóhann Helgason,MF,225.0,0.017777778,0.88,0.012454608,Monitor,0.198495602
Paul Joly,DF,864.0,0.008101852,0.635416667,0.012240584,Sub Early,0.319545344
Josan,"DF,MF",1080.0,0.017592593,1.133333333,0.012168238,Sub Early,0.455357541
Mateo Joseph,"FW,MF",27.0,0.0,1.333333333,0.012520926,Monitor,0.166189609
Stevan Jovetić,"FW,MF",891.0,0.022446689,1.090909091,0.012231541,Sub Early,0.401257347
Jubal,DF,3213.0000000000005,0.002489885,0.616246499,0.011453818,Sub Early,0.903366849
Lago Junior,"FW,MF",54.0,0.0,3.5,0.012511882,Monitor,0.343581256
James Justin,DF,1251.0,0.005595524,0.604316547,0.012110963,Sub Early,0.428282516
Gaël Kakuta,FW,18.0,0.0,0.0,0.01252394,Monitor,0.100006784
Yayah Kallon,"MF,FW",864.0,0.017361111,1.59375,0.012240584,Sub Early,0.434470616
Justin-Noël Kalumba,DF,549.0,0.003642987,1.06557377,0.012346089,Monitor,0.265271796
Bingourou Kamara,GK,405.0,0.0,0.111111111,0.01239432,Monitor,0.161482401
Marcin Kamiński,DF,630.0,0.006349206,0.271428571,0.012318959,Monitor,0.22598934
Nordine Kandil,"MF,FW",99.0,0.03030303,2.090909091,0.01249681,Monitor,0.282909265
Wilfried Kanga,FW,1413.0,0.01556971,1.350318471,0.012056704,Sub Early,0.581426303
N'Golo Kanté,MF,522.0,0.026819923,1.189655172,0.012355132,Monitor,0.310334817
Kenan Karaman,FW,972.0,0.010288066,1.444444444,0.012204411,Sub Early,0.438012236
Denso Kasius,DF,342.0,0.023391813,1.447368421,0.012415421,Monitor,0.278617729
Thomas Kastanaras,"FW,DF",72.0,0.013888889,2.5,0.012505854,Monitor,0.282428323
Neeskens Kebano,FW,765.0,0.020915033,1.035294118,0.012273743,Sub Early,0.354123453
Check Keita,DF,684.0,0.001461988,0.513157895,0.012300872,Monitor,0.249777864
Marc-Oliver Kempf,DF,2709.0,0.003691399,0.488372093,0.011622626,Monitor,0.822990465
Kenedy,"FW,DF",279.0,0.017921147,2.870967742,0.012436522,Monitor,0.384760813
Jonjoe Kenny,DF,2241.0,0.008032129,0.775100402,0.011779376,Sub Early,0.748455558
Franck Kessié,MF,990.0,0.01010101,1.372727273,0.012198382,Sub Early,0.435780715
Saîf-Eddine Khaoui,MF,2025.0,0.023703704,1.133333333,0.011851722,Sub Early,0.75035128
Anthony Khelifa,DF,9.0,0.0,0.0,0.012526955,Monitor,0.098960517
Presnel Kimpembe,DF,729.0,0.001371742,1.086419753,0.0122858,Sub Early,0.31088084
Pascal Klemens,DF,90.0,0.0,0.0,0.012499825,Monitor,0.108735993
Mateusz Klich,"MF,FW",279.0,0.017921147,2.516129032,0.012436522,Monitor,0.349378313
Rudy Kohon,DF,62.99999999999999,0.0,0.571428571,0.012508868,Monitor,0.130862142
Timothée Kolodziejczak,DF,27.0,0.0,0.0,0.012520926,Monitor,0.101062872
Youssouf Koné,DF,918.0,0.001089325,1.068627451,0.012222497,Sub Early,0.363351115
Kalidou Koulibaly,DF,1800.0,0.005555556,0.605,0.011927083,Sub Early,0.604319899
Soichiro Kozuki,"FW,MF",378.0,0.013227513,1.404761905,0.012403363,Monitor,0.26669187
